Name,url
Ángel Correa,/player/214997/%C3%A1ngel-correa/
Kingsley Coman,/player/213345/kingsley-coman/
Nabil Bentaleb,/player/213296/nabil-bentaleb/
Julian Brandt,/player/212194/julian-brandt/
Kerem Demirbay,/player/211748/kerem-demirbay/
Daniele Rugani,/player/211320/daniele-rugani/
Morgan Sanson,/player/210896/morgan-sanson/
Samu Castillejo,/player/210617/samu-castillejo/
Piotr Zieliński,/player/210406/piotr-zieli%C5%84ski/
Ricardo Pereira,/player/210243/ricardo-pereira/
Grimaldo,/player/210035/grimaldo/
Raphaël Guerreiro,/player/209889/rapha%C3%ABl-guerreiro/
Fred,/player/209297/fred/
Jonas Hector,/player/208334/jonas-hector/
Emre Can,/player/208333/emre-can/
Gerard Moreno,/player/208093/gerard-moreno/
Sead Kolašinac,/player/207993/sead-kola%C5%A1inac/
Leandro Paredes,/player/207439/leandro-paredes/
Arrizabalaga,/player/206585/arrizabalaga/
Alassane Pléa,/player/206467/alassane-pl%C3%A9a/
Taras Stepanenko,/player/206413/taras-stepanenko/
Oleg Shatov,/player/206273/oleg-shatov/
Leo Baptistao,/player/205976/leo-baptistao/
Matija Nastasić,/player/205362/matija-nastasi%C4%87/
Denis Suárez,/player/205192/denis-su%C3%A1rez/
Michy Batshuayi,/player/204529/michy-batshuayi/
John Brooks,/player/204082/john-brooks/
Šime Vrsaljko,/player/203890/%C5%A1ime-vrsaljko/
Eric Botteghin,/player/203888/eric-botteghin/
Loris Karius,/player/203775/loris-karius/
Thorgan Hazard,/player/203486/thorgan-hazard/
Valère Germain,/player/203280/val%C3%A8re-germain/
Layvin Kurzawa,/player/201510/layvin-kurzawa/
Faouzi Ghoulam,/player/201454/faouzi-ghoulam/
Jeison Murillo,/player/201377/jeison-murillo/
Gabriel Paulista,/player/201305/gabriel-paulista/
Josip Iličić,/player/200647/josip-ili%C4%8Di%C4%87/
Kevin Volland,/player/200610/kevin-volland/
Allan,/player/199914/allan/
Pablo Hernández,/player/199827/pablo-hern%C3%A1ndez/
Dušan Tadić,/player/199434/du%C5%A1an-tadi%C4%87/
Luis Muriel,/player/199110/luis-muriel/
Pablo Sarabia,/player/198950/pablo-sarabia/
Alex Oxlade-Chamberlain,/player/198784/alex-oxlade-chamberlain/
Josuha Guilavogui,/player/198118/josuha-guilavogui/
Oğuzhan Özyakup,/player/196934/o%C4%9Fuzhan-%C3%B6zyakup/
Yaroslav Rakitskyi,/player/195861/yaroslav-rakitskyi/
Phil Jones,/player/194957/phil-jones/
Sergi Enrich,/player/194879/sergi-enrich/
Neto,/player/194404/neto/
